,Full_Address,Percent_Increase,Rental price (per month) BEFORE the increase,Rental price (per month) AFTER the increase,Latitude,Longitude
63,"3715 Kelton Ave APT 3, Los Angeles, CA, 90034",21,3695,4500,34.017497,-118.4132693
64,"16754 Armstead St,  Granada Hills, CA, 91344",16,6000,7000,34.2820287,-118.4975235
65,"14949 La Cumbre Dr, Los Angeles, CA, 90272",18,29500,35000,34.0339175,-118.5223176
66,"2559 Hutton Dr, Beverly Hills, CA, 90210",31,7999,10500,34.1179119,-118.4328616
67,"1240 Morningside Way, Venice, CA, 90291",962,3000,31888,34.0041301,-118.4565317
68,"4800 Zelzah Ave, Encino, CA, 91316",128,35000,80000,34.1566195,-118.5225614
69,"1129 La Puerta St, Los Angeles, CA, 90023",14,3500,4000,34.0191629,-118.1935782
70,"114 Pacific Ave, Venice, CA, 90291",27,8995,11500,33.9967728,-118.4793023
71,"2950 Warwick Ave, Los Angeles, CA, 90032",20,3500,4200,34.0800115,-118.1661923
72,"636 Acanto St Apt 104, Los Angeles, CA, 90049",19,2600,3100,34.0771003,-118.4680627
73,"8700 Chalmers Dr #301, Los Angeles, CA, 90035",38,6500,9000,34.060791,-118.3816771
74,"28 26th Ave #A, Venice, CA, 90291",20,6600,7950,33.9820182,-118.4682347
75,"2950 Warwick Ave, Los Angeles, CA, 90032",20,3500,4200,34.0800115,-118.1661923
76,"4865 Eldred St, Los Angeles, CA, 90042",20,7500,9000,34.1085965,-118.2085137
77,"240 Howland Canal Ct, Venice, CA, 90291",70,20500,35000,33.9836098,-118.4660555
78,"2451 Century Hl, Century City, CA, 90035",-27,9000,6500,34.0549415,-118.4099511
79,"225 Sherman Canal Ct, Venice, CA, 90291",36,11000,15000,33.9832233,-118.4661853
80,"503 N Santa Anita Ave #A, Arcadia, CA, 91006",28,7000,9000,34.1457463,-118.0318541
81,"5316 Teesdale Ave, Los Angeles, CA, 91607",20,2500,3000,34.1671716,-118.4082965
82,"5351 Packard St, Los Angeles, CA, 90019",41,6200,8800,34.0505312,-118.3532031
83,"2205 Ocean Front Walk, Venice, CA, 90291",16,29995,35000,33.9837406,-118.4706913
84,"705 Chaucer Rd, San Marino, CA, 91108",13,10500,11900,34.1338705,-118.1038161
85,"121 N Croft Ave APT 205,, Los Angeles, CA, 90048",60,5000,8000,34.075184,-118.3745821
86,"9297 Burton Way #B, Beverly Hills, CA, 90210",39,6995,9750,34.0726553,-118.3959314
87,"6076 Hargis St, Los Angeles, CA, 90034",20,5000,6000,34.0322212,-118.3766799
88,"1026 E Verdugo Ave, Burbank, CA, 91501",52,7865,12000,34.188542,-118.2949016
89,"1817 N Silver Lake Blvd, Los Angeles, CA, 90026",46,4750,6950,34.1041153,-118.2583994
90,"150 Fern Dr, Pasadena, CA, 91105",20,25000,30000,34.14576110000001,-118.1682885
91,"1390 Rose Avenue, Venice, Other, 90291",58,11900,18900,34.0079133,-118.4550301
92,"77 E Altadena Drive, Altadena, CA, 91001",21,2300,2800,34.194501,-118.1458458
93,"9982 Beverly Grv, Beverly Hills, CA, 90210",30,65000,85000,34.0951502,-118.4273316
94,"210 N California St, Burbank, CA, 91505",61,4900,7900,34.1560648,-118.3363273
95,"3572 E Green St, Pasadena, CA, 91107",10,3800,4200,34.1450013,-118.0772201
96,"2950 Tyburn St, Los Angeles, CA, 90039",18,3800,4500,34.1123418,-118.2619812
97,"220 Avenue A, Redondo Beach, CA, 90277",73,7500,13000,33.8274711,-118.3868215
98,"2943 Virginia Ave, Santa Monica, CA 90404, Santa Monica , CA, 90404",53,19500,30000,34.02746460000001,-118.4607325
99,"1719 Wellesley Ave, Los Angeles, CA, 90025",76,8495,14995,34.0354175,-118.4610317
100,"1001 Hanover Dr, Beverly Hills, CA, 90210",19,41995,50000,34.0832691,-118.4270346
101,"22522 Gilmore St, West Hills , CA, 91307",154,5500,14000,34.18755,-118.61761
102,"11571 Nebraska Ave #2, Los Angeles, CA, 90025",21,2350,2850,34.0414251,-118.4506808
103,"13018 Chandler Blvd, Van Nuys, CA, 91401",12,40000,45000,34.168076,-118.4167493
104,"3400 Greenfield Ave APT 1, Los Angeles, CA, 90034",923,4300,44000,34.0231447,-118.4196083
105,"3715 Kelton Ave APT 3, Los Angeles, CA, 90024",21,3695,4500,34.017497,-118.4132693
106,"912 N. Vendome St, Los Angeles, CA, 90026",80,2500,4500,34.0824389,-118.275254
107,"15059 Oro Grande, Sylmar, CA, 91342",93,4750,9200,34.2953821,-118.4594062
108,"1901 N Catalina St, Los Angeles, CA, 90027",733,2340,19500,34.1055592,-118.2953678
109,"9105 Cordell Dr, Los Angeles, CA, 90069",14,35000,39950,34.0942492,-118.3897941
110,"2847 Deep Canyon Dr, Beverly Hills, CA, 90210",33,29500,39500,34.1248008,-118.4323286
111,"3663 Edenhurst, Los Angeles, CA, 90039",12,8000,9000,34.1191127,-118.2616592
112,"22738 Mobile St, West Hills, CA, 91307",75,8000,14000,34.1878561,-118.6227186
113,"543 Rialto Ave, Los Angeles, CA, 90026",22,22500,27500,33.98937799999999,-118.4658695
114,"3663 Edenhurst, Los Angeles, CA, 90039",73,3750,6500,34.1191127,-118.2616592
115,"716 N Kenter Ave, Los Angeles, CA, 90049",100,17995,35995,34.0714043,-118.4887349
116,"11826 Dorothy St Apt 202, Los Angeles, CA, 90049",23,5095,6300,34.0511994,-118.467222
117,"3672 Jasmine Ave UNIT 102, Los Angeles, CA, 90034",20,4990,5995,34.0243915,-118.4036222
118,"1849 N Coldwater Canyon Dr, Beverly Hills, CA, 90210",45,24000,35000,34.104738,-118.4057787
119,"6230 Lindenhurst Ave #6230, Los Angeles, CA, 90048",10,4995,5500,34.0658143,-118.3643402
120,"110 N Barrington Ave, Los Angeles, CA, 90049",25,12000,15000,34.065732,-118.4704712
121,"543 Perugia Way, Los Angeles, CA, 90077",18,29500,35000,34.078557,-118.4469209
122,"1308 N Orange Grove Ave, Los Angeles, CA, 90046",47,11500,17000,34.0947936,-118.360097
123,"1055 S Hayworth Ave, Los Angeles, CA, 90035",12,4900,5500,34.0568131,-118.3658744
124,"907 Pine Grove Ave, Los Angeles, CA, 90042",10,5250,5800,34.1314625,-118.1868437
125,"1658 Lindacrest Dr, Beverly Hills, CA, 90210",16,30000,34950,34.1012325,-118.4049851
126,"12829 Jolette ave, Granada hills, CA, 91344",25,10000,12500,34.3029116,-118.5132691
127,"5900 Hellman Ave , Los Angeles, CA, 90042",40,4950,6950,34.1033225,-118.1784453
128,"15373 Valley Vista Blvd, Sherman Oaks, CA, 91403",88,18000,34000,34.1495396,-118.4697533
129,"13001-13019 Montana Ave #1301, Los Angeles, CA, 90049",52,3595,5495,34.0420878,-118.4833075
130,"17821 San Jose st , Granada hills, CA, 91344",41,4250,6000,34.2615678,-118.5224638
131,"2203 N Bowmont Dr, Beverly Hills, CA, 90210",187,11800,33950,34.115743,-118.3994707
132,"710 Westbourne Dr, West Hollywood, CA, 90069",26,9500,11995,34.0839867,-118.3792821
133,"8185 Mannix Dr, Los Angeles, CA, 90046",10,9500,10500,34.10655029999999,-118.3693574
134,"3323 N Knoll Dr, Los Angeles, CA, 90068",84,6495,12000,34.128657,-118.3442005
135,"7484 Mulholland Dr, Los Angeles, CA, 90046",12,12500,14000,34.1240652,-118.3584046
136,"4707 Libbit Ave, Encino, CA, 91436",60,20000,32000,34.1553371,-118.4883177
137,"2430 7th St , Santa Monica, CA, 90405",14,10500,12000,34.0076568,-118.4800777
138,"2119 S West View St, Los Angeles, CA, 90016",100,7500,15000,34.0370465,-118.3459268
139,"9621 Royalton Dr, Beverly Hills, CA, 90210",42,21000,30000,34.1108746,-118.405544
140,"5948 Abernathy Dr, Los Angeles, CA, 90045",20,9999,11999,33.9712631,-118.3868662
141,"649 N Edinburgh Ave, Los Angeles, CA, 90048",45,24000,35000,34.0829817,-118.3640755
142,"8429 Wiley Post Ave, Los Angeles, CA, 90045",29,5400,7000,33.9610696,-118.3873693
143,"610 N Stanley Ave, Los Angeles, CA, 90036",50,20000,30000,34.08225,-118.3560757
144,"11842 Culver Blvd, Los Angeles, CA, 90067",24,2945,3680,33.996255,-118.4164218
145,"5442 W 76th St, Los Angeles, CA, 90045",25,8000,10000,33.9684305,-118.3754946
146,"446 S Almont Dr, Beverly Hills, CA, 90211",23,10500,13000,34.0580701,-118.3874872
147,"4243 Mary Ellen Ave, Studio City , CA, 91604",7,3733,3995,34.1474458,-118.4202118
148,"13252 Magnolia Blvd , Sherman Oaks , CA, 91423",26,15000,19000,34.1645752,-118.4220065
149,"1937 Prosser Ave, , Los Angeles, CA, 90025",122,6300,14000,34.0514138,-118.4278336
150,"157 S Anita Ave, Los Angeles, CA, 90049",10,15600,17200,34.0554253,-118.4832885
151,"138 N Hamel Dr, Beverly Hills, CA, 90211",63,9500,15500,34.0672251,-118.3812904
152,"317 Westbourne Dr, West Hollywood, CA, 90048",11,27000,30000,34.07717239999999,-118.3779947
153,"2307 Federal Ave, Los Angeles, CA, 90064",39,21500,30000,34.0337962,-118.4447728
154,"114 Pacific Ave, Venice, CA, 90291",27,8995,11500,33.9967728,-118.4793023
155,"8966 Shoreham Dr, Los Angeles, CA, 90069",35,8500,11500,34.0912554,-118.3873058
156,"811 23rd St, Santa Monica, CA, 90403",42,8750,12500,34.0389437,-118.4861039
157,"1741 Stearns Drive, Los Angeles, CA, 90035",0,14995,14995,34.0453358,-118.3733341
158,"8680 Franklin Ave, Los Angeles, CA, 90069",30,20000,26000,34.0986142,-118.3782761
159,"1106 Oakwood Ave, Venice, CA, 90291",30,8459,11000,33.995115,-118.4633682
160,"13018 Chandler Blvd, Los Angeles , CA, 91401",12,40000,45000,34.168076,-118.4167493
161,"1533 Marlay Dr, West Hollywood, CA, 90069",15,26000,30000,34.1001424,-118.3692282
162,"748 S Cloverdale Ave, Los Angeles, CA, 90036",33,19500,26000,34.0608398,-118.3464946
163,"637 Oxford Ave, Venice, CA, 90291",10,7250,7995,33.9873932,-118.4568526
164,"1612 Courtney Ave, Los Angeles, CA, 90046",17,8900,10500,34.1003271,-118.3569802
165,"2203 N Bowmont Dr, Beverly Hills, CA, 90210",171,11800,32000,34.115743,-118.3994707
166,"1941 Glencoe Way, Los Angeles, CA, 90068",47,8500,12500,34.10617939999999,-118.339232
167,"8147 Mulholland Ter, Los Angeles, CA, 90047",25,15900,20000,34.1239814,-118.3775658
168,"4227 McLaughlin Ave FLOOR 3-ID136, Los Angeles, CA, 90066",10,3700,4080,34.0008462,-118.4188711
169,"1719 Wellesley Ave, Los Angeles, CA, 90025",76,8495,14995,34.0354175,-118.4610317
170,"1846 N Alvarado St, Los Angeles, CA, 90026",11,4495,4995,34.08798,-118.25693
171,"4630 Vantage Ave, Valley Village, CA, 91607",23,12950,15995,34.1550146,-118.3973621
172,"9987 Reevesbury Dr, Beverly Hills, CA, 90210",38,18000,25000,34.1116787,-118.4368716
173,"8429 Wiley Post Ave, Los Angeles, CA, 90045",11,5400,6000,33.9610696,-118.3873693
174,"3205 Waverly Dr, Los Angeles, CA, 90027",31,19000,25000,34.1133833,-118.2705752
175,"Undisclosed address, Burbank, CA, 91504",17,17900,20950,34.2053511,-118.3286614
176,"3600 Valley Meadow Rd, Sherman Oaks, CA, 91403",11,8500,9500,34.1357271,-118.4777056
177,"1172 Linda Flora Dr,  Los Angeles, CA, 90049",12,40000,45000,34.0915507,-118.4653588
178,"1966 Rangeview Dr, Glendale, CA, 91201",82,6300,11500,34.184912,-118.2844992
179,"1801 Roscomare Rd, Los Angeles, CA, 90077",30,14500,18900,34.1023499,-118.4636574
180,"4641 crown ave, la canada flintridge, CA, 91011",22,6200,7600,34.1999938,-118.1836487
181,"Undisclosed , Los Angeles, CA, 90291",28,6250,8000,33.9962144,-118.4688776
182,"9509 Cresta Dr, Los Angeles, CA, 90035",25,13500,17000,34.0471329,-118.3955672
183,"3600 Valley Meadow Rd, Sherman Oaks, CA, 91403",11,8500,9500,34.1357271,-118.4777056
184,"927 N Fairview St, Burbank, CA, 91505",32,14950,19750,34.1707585,-118.341654
185,"20 28th Ave #Penthouse, Venice, CA, 90291",9,9000,9895,33.9807931,-118.4674787
186,"2428 glyndon ave, Venice, CA, 90291",39,11500,16000,33.9951776,-118.4484577
187,"14654 Addison St, Sherman Oaks, CA, 91403",55,9000,14000,34.1610216,-118.452896
188,"3055 Landa St, Los Angeles, CA, 90026",33,9000,12000,34.0954998,-118.2679795
189,"12318 W Sunset Blvd, Los Angeles, CA, 90049",1,29500,30000,34.057587,-118.4798486
190,"8725 W Lookout Mountain Ave, Los Angeles, CA, 90046",16,5999,6999,34.1092274,-118.3835001
191,"1106 Oakwood Ave, Venice, CA 90291, venice, CA, 90291",30,8459,11000,33.995115,-118.4633682
192,"2950 Tyburn St, Los Angeles , CA, 90039",18,3800,4500,34.1123418,-118.2619812
193,"15701 Royal Ridge Rd, Sherman Oaks, CA, 91403",10,8995,9900,34.1397584,-118.4753431
194,"114 Pacific Ave, Venice, CA, 90291",27,8995,11500,33.9967728,-118.4793023
195,"1302 N Gardner St,, Los Angeles, CA, 90046",36,3300,4500,34.0945816,-118.3526078
196,"1427 Columbia Dr,, Glendale, CA, 91205",129,8500,19500,34.1278404,-118.2415194
197,"848 15th St APT 2, Santa Monica, CA, 90403",27,3500,4450,34.0176898,-118.5003345
198,"425 29th St. , Manhattan Beach , CA, 90266",118,8250,18000,33.8966532,-118.4141582
199,"1026 E Verdugo Ave, Burbank, CA, 91501",52,7865,12000,34.188542,-118.2949016
200,"240 Howland Canal Ct, Venice, CA, 90291",70,20500,35000,33.9836098,-118.4660555
201,"12243 Gorham Ave #A, Los Angeles, CA, 90049",27,5500,7000,34.048023,-118.474057
202,"640 Harbor St Apt 1, Venice, CA, 90291",47,20000,29500,33.9846959,-118.4600504
203,"1741 Stearns Dr, Los Angeles , CA, 90035",33,14995,19999,34.0453358,-118.3733341
204,"2311 Malcolm Ave, Los Angeles, CA, 90064",66,4500,7500,34.0430199,-118.4285988
205,"16754 Armstead St, Granada Hills, CA, 91344",16,6000,7000,34.2820287,-118.4975235
206,"2219 Estribo Dr, Rolling Hills, CA, 90274",10,9500,10500,33.7677492,-118.3197686
207,"2229 willetta st, los angeles , CA, 90068",57,10500,16500,34.1112675,-118.3276786
208,"1812 Navy St, Santa Monica, CA, 90405",119,12750,28000,34.0086557,-118.4604661
209,"5900 Hellman Ave, Los Angeles, CA, 90042",40,4950,6950,34.1033225,-118.1784453
210,"427 Manhattan Ave, Hermosa Beach, CA, 90254",20,7400,8900,33.8568639,-118.3978453
211,"10919 Ayres Ave, Los Angeles, CA, 90064",11,8000,8900,34.0389566,-118.4295212
212,"11708 Exposition Blvd, Los Angeles , CA, 90064",40,5000,7000,34.0324795,-118.4468625
213,"907 pine grove ave, los angeles, CA, 90042",10,5250,5800,34.1314625,-118.1868437
214,"208 Marine Ave, Manhattan Beach, CA, 90266",12,7900,8900,33.8913984,-118.4141915
215,"716 Rochedale Way, Los Angeles , CA, 90049",33,8995,12000,34.0715616,-118.486846
216,"10 20th Ave, Venice, CA, 90291",90,10000,19000,33.9847931,-118.4713236
217,"907 Pine Grove Ave, Los Angeles, CA, 90042",10,5250,5800,34.1314625,-118.1868437
218,"undisclosed, burbank, CA, 91504",17,17900,20950,34.2053511,-118.3286614
219,"3512 Crestmont Ave, Los Angeles , CA, 90026",22,9000,11000,34.0923713,-118.2745262
220,"700 N Irena Ave, Redondo Beach, CA, 90277",20,7320,8820,33.8509114,-118.3865078
221,"1610 S Hayworth Ave, Los Angeles, CA, 90035",25,6995,8790,34.0472875,-118.3684152
222,"705 Chaucer Rd, San Marino, CA, 91108",13,10500,11900,34.1338705,-118.1038161
223,"2727 El Oeste Dr, Hermosa Beach, CA, 90254",10,9900,10890,33.8743891,-118.3974139
224,"6255 W Olympic Blvd #2, Los Angeles , CA, 90048",100,7500,15000,34.0587852,-118.3670649
225,"614 Midvale Ave, Los Angeles, CA, 90024",56,3350,5250,34.06582,-118.4516
226,"3408 Alma Ave, Manhattan Beach, CA, 90266",177,4500,12500,33.8996655,-118.4160549
227,"1222 Hilldale Ave, Los Angeles , CA, 90069",104,24500,50000,34.0921484,-118.3863352
228,"8966 Shoreham Dr, Los Angeles , CA, 90069",35,8500,11500,34.0912554,-118.3873058
229,"3100 The Strand, Hermosa Beach, CA, 90254",37,16000,22000,33.874784,-118.40708
230,"11570 W Sunset Blvd, Los Angeles, CA, 90049",116,11999,25999,34.0684155,-118.4697218
231,"1923 Sunset Plaza Dr, Los Angeles , CA, 90069",13,11850,13500,34.1037124,-118.3818782
232,"undisclosed address, Los Angeles , CA, 90046",30,11500,15000,34.1147313,-118.3637264
233,"233 17th St, Manhattan Beach, CA, 90266",97,10000,19700,33.8888141,-118.4120962
234,"3600 Valley Meadow Rd, Sherman Oaks, CA, 91403",11,8500,9500,34.1357271,-118.4777056
235,"1915 S Crescent Heights Blvd, Los Angeles , CA, 90034",127,6600,15000,34.0419943,-118.3755898
236,"500 14th St, Manhattan Beach, CA, 90266",84,12500,23000,33.8877827,-118.4083462
237,"11246 Segrell Way, Culver City, CA, 90230",30,4200,5500,33.99393480000001,-118.3964038
238,"23716 Archwood St , West Hils , CA, 91307",4,10500,11000,34.1913536,-118.6435057
239,"918 N Screenland Dr, Burbank, CA, 91505",12,3200,3600,34.1665696,-118.3473153
240,"8147 Mulholland Ter, Los Angeles, CA, 90046",25,15900,20000,34.1239814,-118.3775658
241,"711 Huntley Dr, West Hollywood, CA, 90069",8,17000,18500,34.0840094,-118.3808428
242,"825 N Pasadena Ave, Pasadena, CA, 91103",12,3750,4200,34.1581114,-118.1610471
243,"233 17th St, Manhattan Beach, CA, 90266",97,10000,19700,33.8888141,-118.4120962
244,"1321 Londonderry Pl, Los Angeles, CA, 90069",6,17400,18500,34.0938207,-118.3789921
245,"1920 Sunset Plaza Dr, Los Angeles, CA, 90069",42,35000,50000,34.1033084,-118.3817348
246,"870 Hilgard Ave #315, Los Angeles, CA, 90024",13,2995,3395,34.0645792,-118.4404699
247,"1801 Roscomare Rd, Los Angeles, CA, 90077",40,13500,18900,34.1023499,-118.4636574
248,"815 N Whittier Dr, Beverly Hills, CA, 90210",132,29000,67500,34.0741375,-118.4192433
249,"8911 Cynthia St APT 9, West Hollywood, CA, 90069",12,6240,7000,34.0874504,-118.3859943
250,"274 S La Fayette Park Pl #2B-2BA, Los Angeles, CA, 90057",37,2395,3295,34.0671024,-118.2800364
251,"2070 Layton St, Pasadena, CA, 91104",12,3100,3500,34.1722603,-118.1081759
252,"5514 Sylvia Ave, Tarzana, CA, 91356",17,17000,20000,34.1712845,-118.5520623
253,"1221 Myra Ave #PENTHOUSE 605, los angeles, CA, 90029",14,2832,3245,34.09558,-118.2809
254,"2950 Tyburn St, Los Angeles, CA, 90039",18,3800,4500,34.1123418,-118.2619812
255,"446 S Almont Dr, Beverly Hills, CA 90211, Beverly hills, CA, 90211",18,11000,13000,34.0580701,-118.3874872
256,"1106 Maybrook dr, Beverly hills, CA, 90210",29,13950,18000,34.0907262,-118.4285961
257,"1106 Maybrook D, Beverly Hills, CA, 90210",29,13950,18000,34.0907262,-118.4285961
258,"1222 Hilldale Ave, Los Angeles, CA, 90069",104,24500,50000,34.0921484,-118.3863352
259,"10734 Bloomfield St, North Hollywood, CA, 91602",20,3980,4800,34.1492625,-118.3645604
260,"15105 Mulholland Dr, Los Angeles, CA, 90077",19,58500,70000,34.1315196,-118.4625154
261,"1106 Maybrook Dr, Beverly Hills, CA, 90210",29,13950,18000,34.0907262,-118.4285961
262,"201 N California St, Burbank, CA, 91505",61,7900,12734,34.1556467,-118.3365158
263,"8666 Hollywood Blvd, Los Angeles, CA, 90069",16,14995,17500,34.0972784,-118.3778531
264,"10714 Franklin Ave, Culver City, CA, 90230",19,4200,5000,34.0097287,-118.3993556
265,"2903 Lincoln Blvd #221, Santa Monica, CA, 90405",869,3249,31490,34.0049278,-118.4731979
266,"7599 W Coastal Dr, Los Angeles, CA, 90045",33,25000,33333,33.9516114,-118.3875775
267,"1104 Casiano Rd, Los Angeles, CA, 90049",31,9500,12500,34.0809513,-118.4692139
268,"3552 Federal Ave, Los Angeles, CA, 90066",200,8000,24000,34.012511,-118.4284765
269,"1741 Stearns Dr, Los Angeles, CA, 90035",33,14995,19999,34.0453358,-118.3733341
270,"2229 Willetta St, Los Angeles, CA, 90068",57,10500,16500,34.1112675,-118.3276786
271,"11455 Segrell Way, Culver City, CA, 90230",11,8950,9970,33.9908749,-118.3974559
272,"11310 Valley Spring Ln, north hollywood, CA, 91602",18,10950,12950,34.1465174,-118.3775897
273,"10919 Ayres Ave, Los angeles, CA, 90064",11,8000,8900,34.0389566,-118.4295212
274,"3452 Maplewood Ave , Los Angeles, CA, 90066",67,16750,28000,34.0060551,-118.4492641
275,"2010 Vineburn Street, Los Angeles, CA, 90032",11,3395,3800,34.0664698,-118.189674
276,"1812 Navy St, Sant Monica, CA, 90405",119,12750,28000,34.0086557,-118.4604661
277,"1302 N Gardner St, Los Angeles, CA, 90046",36,3300,4500,34.0945816,-118.3526078
278,"1405 Elkgrove Cir FLR 2-ID71, Venice, CA, 90291",12,3910,4390,34.0009659,-118.4584848
279,"1941 Glencoe Way,, Los Angeles, CA, 90068",47,8500,12500,34.10617939999999,-118.339232
280,"9314 Sierra Mar Dr, Los Angeles, CA 90069, los angeles, CA, 90069",40,10000,14000,34.09554,-118.3943402
